"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XADA27","NJ","PAS"," ","9165137619"," ","11/13/24","0353P","11/19/24"," ",53,"              ","1ST PNLTY","        ","115","0","  0.00"," 15.00","  0.00"," ","100.00","NY","F","145","W Broadway","                    ","0001","44890","16850","32580"
"XADA27","NJ","PAS"," ","9167019080"," ","11/20/24","1215P","11/25/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","N","E 30th St","20ft E/of Madison Av","0014","17590","00000","00000"
"XADA27","NJ","PAS"," ","9170576490"," ","11/22/24","0212P","11/27/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","O","288","E 10th St","                    ","0009","17190","10010","12110"
"XADA27","NJ","PAS"," ","9169484314"," ","12/03/24","0126P","12/06/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","3","W 31st St","                    ","0014","34390","10410","13610"
"XCLN80","NJ","PAS"," ","5604996683"," ","09/20/24","0939A","10/16/24"," ",12,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XCLN80","NJ","PAS"," ","9157847721"," ","10/30/24","0444P","11/04/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","N","W 39th St","35ft E/of 5th Ave","0014","34550","00000","00000"
"XCLN80","NJ","PAS"," ","9165167788"," ","10/30/24","1124A","11/04/24"," ",31,"              ","1ST PNLTY","        ","115","0","  0.00"," 35.00","  0.00"," "," 80.00","NY","I","N","E 39th St","70ft E/of 5th Ave","0014","17770","00000","00000"
"XESY16","NJ","PAS"," ","9159814275"," ","10/30/24","0200P","11/04/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","30","W 26th St","                    ","0013","34290","13610","10510"
"XESY16","NJ","PAS"," ","9164389250"," ","11/04/24","0315P","11/07/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","233","Park Ave South","                    ","0013","27800","17350","17370"
"XESY16","NJ","PAS"," ","9164389261"," ","11/04/24","0316P","11/07/24"," ",76,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","F","233","Park Ave South","                    ","0013","27800","17350","17370"
"XESY16","NJ","PAS"," ","9166450536"," ","11/04/24","0141P","11/07/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","I","W","3rd Ave","50ft S/of E 44th St","0017","10210","00000","00000"
"XESY16","NJ","PAS"," ","9160178280"," ","11/06/24","0204P","11/12/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","226","E 53rd St","                    ","0017","18050","10210","10110"
"XESY16","NJ","PAS"," ","9162583463"," ","11/07/24","1223P","11/12/24"," ",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","I","S","E 47th St","100ft E/of Lexington","0017","17930","00000","00000"
"XESY16","NJ","PAS"," ","9162261356"," ","11/12/24","1030A","11/15/24"," ",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","I","S","W 19th St","20ft E/of 10th Ave","0010","34150","00000","00000"
"XESY16","NJ","PAS"," ","9167741940"," ","11/12/24","0139P","11/15/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","O","11","W 27th St","                    ","0013","34310","10410","13610"
"XESY16","NJ","PAS"," ","9165149099"," ","11/14/24","1147A","11/19/24"," ",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","F","111","W 46th St","                    ","0014","34690","10510","10610"
