"PLATE","STATE","TYPE","TERMINATED","SUMMONS","NON PROGRAM","ISSUE DATE","ISSUE TIME","SYS ENTRY","NEW ISSUE","VC","HEARING IND","PENALTY WARNING","JUDGMENT","FINE","PENALTY","INTEREST","REDUCTION","PAYMENT","NG PMT","AMOUNT DUE","VIO COUNTY","FRONT OR OPP","HOUSE NUMBER","STREET NAME","INTERSECT STREET","GEO LOC","STREET CODE1","STREET CODE2","STREET CODE3"
"XCLN80","NJ","PAS"," ","5604996683"," ","09/20/24","0939A","10/16/24"," ",12,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","SB 2nd Ave @ E 73rd","St","     ","00000","00000","00000"
"XESY16","NJ","PAS"," ","9176220400"," ","12/20/24","1220P","12/26/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","12","E 49th St","                    ","0018","17970","10410","25390"
"XESY16","NJ","PAS"," ","9172907307"," ","12/24/24","1029A","12/27/24","Y",69,"              ","1ST PNLTY","        "," 65","0","  0.00"," 15.00","  0.00"," "," 50.00","NY","O","15","W 27th St","                    ","0013","34310","10410","13610"
"XKFD28","NJ","PAS"," ","4912471446"," ","08/15/24","1017A","08/20/24"," ",36,"              ","          ","11/28/24"," 50","25","  0.17","  0.00"," 50.00"," "," 25.17","MN"," ","            ","NB WEST ST @ CARLISL","E ST","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","5800578930"," ","10/11/24","0736P","11/12/24"," ",43,"              ","JGMT PNDNG","        "," 50","25","  0.00","  0.00","  0.00"," "," 75.00","MN"," ","            ","SB Hudson St @ Jane","St","     ","00000","00000","00000"
"XKFD28","NJ","PAS"," ","9174694467"," ","12/18/24","0124P","12/23/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","118","Greenwich Ave","                    ","0006","21740","23790","23090"
"XKFD28","NJ","PAS"," ","9177093987"," ","12/24/24","0221P","12/27/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","238","Mulberry St","                    ","0005","26990","30790","29290"
"XKFD29","NJ","PAS"," ","2020578827"," ","12/20/24","1137A","12/23/24","Y",21,"              ","1ST PNLTY","        "," 65","0","  0.00"," 25.00","  0.00"," "," 40.00","NY","F","140","EAST 7 STREET","                    ","0007","17130","12110","12210"
"XNFL32","NJ","PAS"," ","9171818455"," ","12/18/24","1218P","12/23/24","Y",38,"              ","1ST PNLTY","        "," 65","0","  0.00"," 20.00","  0.00"," "," 45.00","NY","F","139","Orchard St","                    ","0007","27590","16310","29890"
"XNFL33","NJ","PAS"," ","5605260182"," ","11/01/24","0553P","11/13/24"," ",12,"              ","1ST PNLTY","        "," 50","0","  0.00","  0.00","  0.00"," "," 50.00","MN"," ","            ","EB E 34th St @ Park","Ave","     ","00000","00000","00000"
"XNFL33","NJ","PAS"," ","9172053707"," ","12/19/24","1247P","12/24/24","Y",20,"              ","1ST PNLTY","        "," 65","0","  0.00"," 40.00","  0.00"," "," 25.00","NY","F","56","Greenwich Ave","                    ","0006","21740","14810","28690"
"XNFL33","NJ","PAS"," ","9167278541"," ","12/23/24","1103A","12/26/24","Y",14,"              ","1ST PNLTY","        ","115","0","  0.00"," 25.00","  0.00"," "," 90.00","NY","F","71","W 47th St","                    ","0018","34710","10410","10510"
